Corrente do Motor;Taxa da Balanca
27,5;81,615
27,4;40,78647
27,4;40,78647
27,4;17,82025
27,4;17,82025
27,4;11,69595
27,4;11,69595
27,4;8,634004
27,6;8,634004
27,6;8,634004
27,5;0
27,5;0
27,5;0
27,3;0
27,3;2,764801
27,2;2,764801
27,2;0
27,3;0
27,3;0
27,3;0
27,3;0
27,3;0
27,6;0
27,6;2,509705
27,5;2,509705
27,5;5,316559
27,3;5,316559
27,3;5,316559
27,2;11,69595
27,2;11,69595
27,2;10,42008
27,4;10,42008
27,4;10,16498
27,5;10,16498
27,5;5,316559
27,6;5,316559
27,6;0,9787293
27,4;0,9787293
27,4;0,9787293
27,3;0
27,3;0
27,3;0
27,2;0
27,2;0
27,4;0
27,4;0
27,5;0
27,5;0
27,4;10,67517
27,4;10,67517
27,4;4,295777
27,3;4,295777
27,3;7,613221
27,3;7,613221
27,3;2,254608
27,4;2,254608
27,4;2,254608
27,6;4,04068
27,6;4,04068
27,6;0
27,5;0
27,5;0
27,3;0
27,3;4,550873
27,2;4,550873
27,2;0
27,2;0
27,2;0
27,5;0
27,5;0
27,5;3,274994
27,5;3,274994
27,5;1,999115
27,4;1,999115
27,4;0
27,2;0
27,2;0
27,3;1,233826
27,3;1,233826
27,3;0
27,4;0
27,4;34,66217
27,6;34,66217
27,6;635,6083
27,9;635,6083
27,9;635,6083
28,4;1732,367
28,4;1732,367
28,4;2937,831
29,6;2937,831
29,6;4632,729
31,7;4632,729
31,7;5946,134
40,3;5946,134
40,3;5946,134
51,4;6855,337
51,4;6855,337
51,4;7115,619
56,5;7115,619
56,5;7121,743
48,6;7121,743
48,6;7044,424
42,8;7044,424
42,8;7168,186
43,9;7168,186
43,9;7168,186
51,1;7361,866
51,1;7361,866
51,1;7480,269
51,7;7480,269
51,7;7533,347
48,6;7533,347
48,6;7333,031
48,9;7333,031
48,9;7333,031
45,5;7160,785
45,5;7160,785
45,5;7087,549
44,5;7087,549
44,5;6921,938
48,1;6921,938
48,1;6795,114
45,3;6795,114
45,3;6795,114
43,2;6746,885
43,2;6746,885
43,2;6698,401
44,1;6698,401
44,1;6666,249
45,8;6666,249
45,8;6640,476
46,8;6640,476
46,8;6640,476
47;6913,262
47;6913,262
47;7527,478
55;7527,478
55;7973,53
58,1;7973,53
58,1;8276,427
53,7;8276,427
53,7;8276,427
63,5;8240,447
63,5;8240,447
63,5;7730,089
59,1;7730,089
59,1;6826,246
49,8;6826,246
49,8;5137,983
41,6;5137,983
41,6;5137,983
33,8;3749,045
33,8;3749,045
33,8;3560,467
31;3560,467
31;3826,364
31,5;3826,364
31,5;4555,665
36,8;4555,665
36,8;4555,665
38,7;5475,584
38,7;5475,584
38,7;6032,896
42,7;6032,896
42,7;6241,632
46,8;6241,632
46,8;6347,531
43,5;6347,531
43,5;6347,531
44,5;6245,714
44,5;6245,714
44,5;6165,843
45,9;6165,843
45,9;6186,768
46,4;6186,768
46,4;5943,838
43,8;5943,838
43,8;5943,838
40,9;5268,89
40,9;5268,89
40,9;4818,754
43,1;4818,754
43,1;4197,649
41,4;4197,649
41,4;3802,887
38,4;3802,887
38,4;3802,887
37,1;3782,473
37,1;3782,473
37,1;3892,455
35,8;3892,455
35,8;3502,287
37,5;3502,287
37,5;2769,924
33,2;2769,924
33,2;2769,924
30,3;1871,695
30,3;1871,695
30,3;1589,722
28,3;1589,722
28,3;2607,63
28;2607,63
28;4492,636
30,2;4492,636
30,2;6558,564
54,3;6558,564
54,3;6558,564
83,9;7903,867
83,9;7903,867
83,9;8422,645
75,4;8422,645
75,4;8303,221
60,5;8303,221
60,5;7853,341
53,3;7853,341
53,3;7853,341
45,6;7468,276
45,6;7468,276
45,6;7237,084
48;7237,084
48;7163,848
48,3;7163,848
48,3;7232,491
49,3;7232,491
49,3;7232,491
47,7;7272,809
47,7;7272,809
47,7;7279,188
47,3;7279,188
47,3;7201,104
48;7201,104
48;7162,061
47,7;7162,061
47,7;7257,753
48,3;7257,753
48,3;7257,753
49,2;7197,787
49,2;7197,787
49,2;6928,063
48,5;6928,063
48,5;6656,042
44,8;6656,042
44,8;6426,891
43,4;6426,891
43,4;6426,891
43;6276,336
43;6276,336
43;6430,975
44,4;6430,975
44,4;6637,924
44,1;6637,924
44,1;6754,031
46;6754,031
46;6754,031
47,4;6990,836
47,4;6990,836
47,4;7218,966
52;7218,966
52;7465,469
53,9;7465,469
53,9;7581,831
52;7581,831
52;7581,831
50,4;7484,608
50,4;7484,608
50,4;7247,036
48,1;7247,036
48,1;7068,921
48,2;7068,921
48,2;6705,546
49,4;6705,546
49,4;6417,705
43,3;6417,705
43,3;6417,705
42,8;6425,615
42,8;6425,615
42,8;6518,5
43,8;6518,5
43,8;6738,975
46,6;6738,975
46,6;6866,564
46;6866,564
46;6866,564
48,3;6928,828
48,3;6928,828
48,3;6958,173
48,3;6958,173
48,3;6977,567
45,8;6977,567
45,8;6904,586
46;6904,586
46;6904,586
44,3;6886,213
44,3;6886,213
44,3;6965,574
46,6;6965,574
46,6;7081,68
49,4;7081,68
49,4;7114,854
47;7114,854
47;7114,854
46,4;7059,99
46,4;7059,99
46,4;6984,201
44,5;6984,201
44,5;6926,787
44,1;6926,787
44,1;6839,005
47,3;6839,005
47,3;6839,005
44,3;6787,969
44,3;6787,969
44,3;6921,683
43,4;6921,683
43,4;7094,439
45,2;7094,439
45,2;7201,104
47,4;7201,104
47,4;7201,104
48,7;7056,928
48,7;7056,928
48,7;6815,784
45,2;6815,784
45,2;6686,408
42,7;6686,408
42,7;6693,809
41,4;6693,809
41,4;6693,809
42,6;6811,446
42,6;6811,446
42,6;7132,716
44,3;7132,716
44,3;7634,908
50,4;7634,908
50,4;8091,933
55,5;8091,933
55,5;8091,933
53,5;8381,306
53,5;8381,306
53,5;8308,579
55,7;8308,579
55,7;7873,5
50,2;7873,5
50,2;7227,643
46,7;7227,643
46,7;7227,643
46;6486,603
46;6486,603
46;6124,25
41,6;6124,25
41,6;6289,605
40,1;6289,605
40,1;6545,039
44,8;6545,039
44,8;6545,039
47,2;6808,639
47,2;6808,639
47,2;6894,379
50,4;6894,379
50,4;6888,765
48,7;6888,765
48,7;6906,373
45,6;6906,373
45,6;6906,373
45,5;7088,825
45,5;7088,825
45,5;7388,15
52,2;7388,15
52,2;7551,209
51,7;7551,209
51,7;7472,104
50;7472,104
50;7308,534
48,1;7308,534
48,1;7308,534
45,6;7101,839
45,6;7101,839
45,6;6819,611
44,4;6819,611
44,4;6632,82
41,4;6632,82
41,4;6771,383
42,6;6771,383
42,6;6771,383
43,8;7383,301
43,8;7383,301
43,8;7893,404
59,2;7893,404
59,2;7833,947
56,2;7833,947
