Corrente do Motor;Taxa da Balanca
27,5;0
27,5;0
27,5;0
27,5;0
27,5;0
27,6;0
27,6;0
27,5;0
27,5;0
27,5;0
27,5;0
27,5;0
27,5;0
27,5;0
27,4;0
27,4;0
27,5;0
27,5;0
27,6;0
27,6;0
27,6;0
27,8;0
27,8;0
27,5;0
27,5;0
27,5;0
27,5;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,7;0
27,7;0
27,7;0
27,7;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,5;0
27,5;0
27,6;0
27,6;0
27,8;0
27,8;269,4267
28,1;269,4267
28,1;1287,08
28,1;1287,08
29,3;2404,253
29,3;2404,253
31,2;2404,253
31,2;3218,528
33,8;3218,528
33,8;3754,404
35,4;3754,404
35,4;3724,038
35,4;3724,038
35,1;3165,961
35,1;3165,961
32,1;3165,961
32,1;2283,043
29,2;2283,043
29,2;1251,865
28,2;1251,865
28,2;711,3962
28;711,3962
28;806,323
28;806,323
28,2;806,323
28,2;1323,315
29,3;1323,315
29,3;1763,754
30,2;1763,754
30,2;1317,191
30,2;1317,191
29;672,6092
29;672,6092
28;672,6092
28;571,5585
30,2;571,5585
30,2;1913,288
36,1;1913,288
36,1;4089,709
50,7;4089,709
50,7;6210,755
50,7;6210,755
53,2;7811,491
53,2;7811,491
61,6;7811,491
61,6;8878,649
62,6;8878,649
62,6;9669,193
62,6;9669,193
64,5;10094,07
64,5;10094,07
63,3;10254,57
63,3;10254,57
62,2;10254,57
62,2;10206,09
59,5;10206,09
59,5;9690,628
56,1;9690,628
56,1;8784,743
56,1;8784,743
50,7;8784,743
50,7;7684,413
48,2;7684,413
48,2;6138,284
43,2;6138,284
43,2;4235,926
29,4;4235,926
29,4;2619,113
29,4;2619,113
28,1;1332,502
28,1;1332,502
27,6;1332,502
27,6;671,5884
27,8;671,5884
27,8;318,6762
27,8;318,6762
27,8;156,6376
27,8;156,6376
27,6;78,04246
27,6;78,04246
27,6;78,04246
27,6;40,53138
27,5;40,53138
27,5;0
27,8;0
27,8;0
27,8;0
27,8;0
27,8;0
27,6;0
27,6;0
27,5;0
27,5;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,6;0
27,7;0
27,7;0
27,6;0
27,6;0
27,6;0
27,6;786,4191
27,6;786,4191
29,3;2481,316
29,3;2481,316
38,5;2481,316
38,5;4482,429
47,3;4482,429
47,3;6276,336
57,5;6276,336
57,5;7749,994
57,5;7749,994
63,3;9182,057
63,3;9182,057
70,9;9182,057
70,9;10416,1
79,9;10416,1
79,9;11503,93
86,9;11503,93
86,9;12148
86,9;12148
81,1;11840,76
81,1;11840,76
64,9;11840,76
64,9;10851,69
51,2;10851,69
51,2;9710,787
49,7;9710,787
49,7;8729,88
49,7;8729,88
47,2;7409,075
47,2;7409,075
46,7;7409,075
46,7;5990,536
39,8;5990,536
39,8;5566,684
44;5566,684
44;6332,986
44;6332,986
50,5;7253,67
50,5;7253,67
53,3;7588,72
53,3;7588,72
52,9;7588,72
52,9;7375,136
47,3;7375,136
47,3;5998,446
39,8;5998,446
39,8;4570,465
39,8;4570,465
32,3;4294,362
32,3;4294,362
32,1;4294,362
32,1;4530,913
38,3;4530,913
38,3;4449
33,3;4449
33,3;3652,077
33,3;3652,077
31,5;3652,077
31,5;3263,44
31,5;3263,44
31,5;4265,271
43,9;4265,271
43,9;5986,963
55,4;5986,963
55,4;7642,818
55,4;7642,818
62,4;8948,059
62,4;8948,059
70;8948,059
70;10030,02
77;10030,02
77;10735,33
67,9;10735,33
67,9;11203,84
67,9;11203,84
63,9;11259,98
63,9;11259,98
63,1;11259,98
63,1;10821,58
55,6;10821,58
55,6;10232,63
58,8;10232,63
58,8;9833,019
57,2;9833,019
57,2;9674,553
57,2;9674,553
59;9674,553
59;9638,827
58;9638,827
58;9599,019
62,6;9599,019
62,6;9895,026
67,4;9895,026
67,4;10306,89
67,4;10306,89
62;10306,89
62;10364,04
60,9;10364,04
60,9;10109,89
57,7;10109,89
57,7;9953,207
70;9953,207
70;10113,2
70;10113,2
67,8;10082,07
67,8;10082,07
55,8;10082,07
55,8;9185,629
49,4;9185,629
49,4;7920,197
44,6;7920,197
44,6;7238,615
44,6;7238,615
44,9;6620,827
44,9;6620,827
38,8;6620,827
38,8;5799,152
38,2;5799,152
38,2;4576,334
35;4576,334
35;4112,93
35;4112,93
35,1;4367,598
35,1;4367,598
36,2;4367,598
36,2;4581,949
38,3;4581,949
38,3;4029,486
34,9;4029,486
34,9;3615,076
34,9;3615,076
36,8;4882,294
36,8;4882,294
52,1;4882,294
52,1;6623,379
68,2;6623,379
68,2;8471,894
68,2;8471,894
67,3;9885,841
67,3;9885,841
79,1;10844,29
79,1;10844,29
82;10844,29
82;11525,36
82,3;11525,36
82,3;11756,3
70,2;11756,3
70,2;11559,3
63,1;11559,3
63,1;11514,9
63,1;11514,9
70,2;11514,9
70,2;11718,79
71;11718,79
71;11638,15
61,6;11638,15
61,6;11117,08
58,7;11117,08
58,7;10413,81
58,7;10413,81
56,4;10413,81
56,4;10129,28
59;10129,28
59;9769,734
56,8;9769,734
56,8;9215,229
57,3;9215,229
57,3;9173,381
57,3;9173,381
64,9;9379,311
64,9;9379,311
60,1;9379,311
60,1;9375,228
53,1;9375,228
53,1;8909,781
49,1;8909,781
49,1;8162,872
49,1;8162,872
47,7;7314,148
47,7;7314,148
48,8;7314,148
48,8;6791,797
41,6;6791,797
41,6;5418,425
34,3;5418,425
34,3;3852,902
31;3852,902
31;3381,333
31;3381,333
30,5;3381,333
30,5;3153,968
31,4;3153,968
31,4;2811,263
30;2811,263
30;2120,493
30;2120,493
30,7;2906,955
30,7;2906,955
32,6;2906,955
32,6;4276,244
45,5;4276,244
45,5;6154,36
51,5;6154,36
51,5;7578,003
59,4;7578,003
59,4;8474,445
59,4;8474,445
65,7;9015,936
65,7;9015,936
68;9015,936
68;9767,183
69,3;9767,183
69,3;10508,73
63,3;10508,73
63,3;10776,67
63,3;10776,67
64,3;11119,63
64,3;11119,63
70,3;11119,63
70,3;11354,65
64,3;11354,65
64,3;11299,02
72,1;11299,02
72,1;11381,44
72,1;11381,44
64;11233,69
64;11233,69
57,2;11233,69
57,2;10522,26
52,4;10522,26
52,4;9767,692
51,2;9767,692
51,2;8993,479
51,2;8993,479
71,3;9526,548
71,3;9526,548
72,3;9526,548
72,3;10637,09
77,2;10637,09
77,2;11184,44
61,2;11184,44
61,2;10686,59
61,2;10686,59
54,2;9419,373
54,2;9419,373
47,3;9419,373
47,3;8291,483
52,6;8291,483
52,6;8585,193
80,6;8585,193
80,6;9792,955
77,8;9792,955
77,8;11110,44
77,8;11110,44
68,5;11110,44
68,5;11324,03
57,9;11324,03
57,9;10191,03
48,1;10191,03
48,1;7901,825
41,5;7901,825
41,5;6988,54
41,5;6988,54
43,8;6988,54
43,8;7363,142
56,9;7363,142
56,9;7899,783
50,8;7899,783
50,8;7878,859
47,7;7878,859
47,7;7185,793
47,7;7185,793
44,4;6368,966
44,4;6368,966
41,2;6368,966
41,2;5346,719
34,6;5346,719
34,6;4311,204
31,7;4311,204
31,7;3571,441
31,7;3571,441
34,1;3571,441
34,1;3325,959
31,7;3325,959
31,7;2813,815
30,6;2813,815
30,6;2275,643
33;2275,643
33;3453,803
33;3453,803
41,2;4705,71
41,2;4705,71
49,2;4705,71
49,2;6241,887
67,6;6241,887
67,6;7926,322
73,7;7926,322
73,7;9478,319
73,7;9478,319
76;10716,45
76;10716,45
67,9;10716,45
67,9;11164,03
61,5;11164,03
61,5;10912,68
61,5;10912,68
67,2;10745,28
67,2;10745,28
87,1;11127,03
87,1;11127,03
77,1;11127,03
77,1;11434,52
65,6;11434,52
65,6;11073,44
56,7;11073,44
56,7;10050,17
49,7;10050,17
49,7;9516,596
49,7;9516,596
59,7;10387,78
59,7;10387,78
81,5;10387,78
81,5;11157,14
62,9;11157,14
62,9;11208,18
54,3;11208,18
54,3;10410,23
54,3;10410,23
47;8694,41
47;8694,41
45,6;8694,41
45,6;7658,895
51,7;7658,895
51,7;7945,46
51,7;7945,46
64,9;8596,167
64,9;8596,167
55;8921,774
55;8921,774
50,9;8921,774
50,9;8692,88
48,3;8692,88
48,3;7965,364
46,1;7965,364
46,1;7445,31
46,1;7445,31
47,3;7062,286
47,3;7062,286
44,6;7062,286
44,6;6280,418
37,3;6280,418
37,3;5315,333
31,6;5315,333
31,6;4233,375
31,6;4233,375
31,4;3474,728
31,4;3474,728
33,1;3474,728
33,1;3151,671
30,7;3151,671
30,7;2793,655
28,7;2793,655
28,7;1778,809
28,7;1778,809
27,4;826,9926
27,4;826,9926
27,8;826,9926
27,8;552,675
28,7;552,675
28,7;1200,829
32,8;1200,829
32,8;1851,535
31,9;1851,535
31,9;1592,529
31,9;1592,529
30,4;1592,529
30,4;861,1862
27,6;861,1862
27,6;440,9066
27,8;440,9066
27,8;206,9078
27,8;206,9078
27,8;101,5189
27,8;101,5189
27,7;50,48331
27,7;50,48331
27,6;50,48331
27,6;0
27,6;0
27,6;0
27,5;0
27,5;0
27,5;0
27,6;0
27,6;0
27,8;0
27,8;0
27,6;0
27,6;0
27,9;0
27,9;891,8077
27,9;891,8077
28,6;891,8077
28,6;2736,24
31,5;2736,24
31,5;4673,813
41,8;4673,813
41,8;6226,576
49,6;6226,576
49,6;7721,158
49,6;7721,158
61,7;7721,158
61,7;8997,053
72,2;8997,053
72,2;10160,41
72,8;10160,41
72,8;11005,05
73,6;11005,05
73,6;11121,93
72,3;11121,93
72,3;11121,93
72,3;10775,39
62,8;10775,39
62,8;10438,81
60,3;10438,81
60,3;10273,2
61,3;10273,2
61,3;10315,05
61,3;10315,05
65,3;10315,05
65,3;10552,62
68,8;10552,62
68,8;10387,78
62,8;10387,78
62,8;9826,894
54;9826,894
54;9712,573
54;9712,573
55,9;9988,932
55,9;9988,932
64,1;9988,932
64,1;10170,37
68;10170,37
68;10282,39
65,6;10282,39
65,6;10040,99
62,4;10040,99
62,4;10040,99
62,4;9608,461
63,7;9608,461
63,7;9697,007
57,7;9697,007
57,7;10702,16
80,6;10702,16
80,6;11529,19
78,4;11529,19
78,4;11127,03
78,4;11127,03
65,6;11127,03
65,6;8333,332
42,2;8333,332
42,2;6232,189
38,3;6232,189
38,3;6339,365
38,5;6339,365
38,5;7708,144
38,5;7708,144
54,7;7708,144
54,7;9651,331
87,3;10460,5
87,3;9983,574
70,9;9983,574
70,9;9865,936
46,2;9865,936
46,2;9623,006
33,7;9623,006
33,7;6783,631
33,7;6783,631
28,6;6783,631
28,6;3724,038
28,1;3724,038
28,1;3073,842
33,2;3073,842
33,2;4793,492
45,2;4793,492
45,2;7036,514
62,7;7036,514
62,7;7036,514
